Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Javonte Green,SF,26,BOS,18,0,120,21,35,.600,3,10,.300,18,25,.720,.643,2,5,.400,3,14,17,4,4,3,3,12,47
Jeff Green,PF,33,UTA,25,2,473,66,164,.402,32,91,.352,34,73,.466,.500,45,56,.804,10,57,67,16,10,10,26,43,209
Blake Griffin,PF,30,DET,13,13,382,72,189,.381,23,81,.284,49,108,.454,.442,61,79,.772,12,50,62,44,5,4,33,19,228
Marko Guduric,SG,24,MEM,24,0,352,46,117,.393,18,58,.310,28,59,.475,.470,13,15,.867,12,36,48,34,8,5,27,24,123
Rui Hachimura,PF,21,WAS,23,23,684,139,289,.481,9,45,.200,130,244,.533,.497,44,51,.863,38,101,139,40,18,3,19,54,331
Devon Hall,SG,24,OKC,5,0,20,1,5,.200,0,2,.000,1,3,.333,.200,3,4,.750,0,1,1,3,0,0,1,1,5
Tim Hardaway,SG,27,DAL,24,11,596,104,244,.426,56,152,.368,48,92,.522,.541,41,50,.820,7,47,54,41,14,3,14,46,305
James Harden,SG,30,HOU,24,24,909,258,586,.440,117,335,.349,141,251,.562,.540,295,335,.881,22,120,142,180,48,15,123,78,928
Maurice Harkless,SF,26,LAC,26,16,610,62,128,.484,15,44,.341,47,84,.560,.543,17,30,.567,25,69,94,29,27,19,25,75,156
Jared Harper,PG,22,PHO,1,0,2,0,1,.000,0,1,.000,0,0,NA,.000,0,0,NA,0,0,0,0,0,0,0,0,0
Montrezl Harrell,C,26,LAC,26,2,762,201,340,.591,0,10,.000,201,330,.609,.591,85,136,.625,74,128,202,55,19,32,44,61,487
