Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Danny Green,SG,32,LAL,24,24,607,71,164,.433,47,118,.398,24,46,.522,.576,8,11,.727,15,76,91,29,31,12,23,58,197
Draymond Green,PF,29,GSW,16,16,451,51,126,.405,11,40,.275,40,86,.465,.448,28,39,.718,7,88,95,89,25,11,37,42,141
JaMychal Green,PF,29,LAC,22,0,469,55,133,.414,34,90,.378,21,43,.488,.541,18,21,.857,29,116,145,10,13,7,20,54,162
Javonte Green,SF,26,BOS,16,0,111,21,35,.600,3,10,.300,18,25,.720,.643,2,5,.400,3,12,15,4,4,2,3,11,47
Jeff Green,PF,33,UTA,24,2,456,63,158,.399,30,86,.349,33,72,.458,.494,43,54,.796,10,56,66,15,10,10,25,42,199
Blake Griffin,PF,30,DET,12,12,352,69,173,.399,22,71,.310,47,102,.461,.462,58,75,.773,12,47,59,39,5,4,33,17,218
Marko Guduric,SG,24,MEM,23,0,347,45,116,.388,17,57,.298,28,59,.475,.461,13,15,.867,11,36,47,33,8,5,24,22,120
Rui Hachimura,PF,21,WAS,23,23,684,139,289,.481,9,45,.200,130,244,.533,.497,44,51,.863,38,101,139,40,18,3,19,54,331
Devon Hall,SG,24,OKC,5,0,20,1,5,.200,0,2,.000,1,3,.333,.200,3,4,.750,0,1,1,3,0,0,1,1,5
Tim Hardaway,SG,27,DAL,23,10,570,103,238,.433,56,147,.381,47,91,.516,.550,41,50,.820,7,42,49,41,14,3,12,44,303
James Harden,SG,30,HOU,23,23,868,238,552,.431,107,317,.338,131,235,.557,.528,290,330,.879,22,117,139,172,46,13,117,75,873
Maurice Harkless,SF,26,LAC,25,15,580,57,118,.483,15,41,.366,42,77,.545,.547,13,26,.500,24,63,87,28,26,19,21,71,142
Jared Harper,PG,22,PHO,1,0,2,0,1,.000,0,1,.000,0,0,NA,.000,0,0,NA,0,0,0,0,0,0,0,0,0
Montrezl Harrell,C,26,LAC,25,2,733,198,332,.596,0,9,.000,198,323,.613,.596,81,132,.614,73,123,196,51,19,29,41,58,477
